"","NUMERO_PARTIDO","DESPESA_MAX_CAMPANHA","SIGLA_PARTIDO","SIGLA_UF","DESC_SIT_TOT_TURNO"
"1",28,800000,"PRTB","AC","NÃO ELEITO"
"2",45,3000000,"PSDB","AC","NÃO ELEITO"
"3",13,5800000,"PT","AC","ELEITO"
"4",14,9000000,"PTB","AL","NÃO ELEITO"
"5",28,1000000,"PRTB","AL","NÃO ELEITO"
"6",50,300000,"PSOL","AL","NÃO ELEITO"
"7",12,15000000,"PDT","AL","2º TURNO"
"8",45,30000000,"PSDB","AL","2º TURNO"
"9",21,40000,"PCB","AL","NÃO ELEITO"
"10",12,15000000,"PDT","AL","NÃO ELEITO"
"11",45,30000000,"PSDB","AL","ELEITO"
"12",40,3000000,"PSB","AP","2º TURNO"
"13",16,20000,"PSTU","AP","NÃO ELEITO"
"14",45,6000000,"PSDB","AP","NÃO ELEITO"
"15",14,3000000,"PTB","AP","2º TURNO"
"16",11,0,"PP","AP","NÃO ELEITO"
"17",40,3000000,"PSB","AP","ELEITO"
"18",14,3000000,"PTB","AP","NÃO ELEITO"
"19",22,30000000,"PR","AM","NÃO ELEITO"
"20",16,80000,"PSTU","AM","NÃO ELEITO"
"21",23,0,"PPS","AM","NÃO ELEITO"
"22",50,1000000,"PSOL","AM","NÃO ELEITO"
"23",21,100000,"PCB","AM","NÃO ELEITO"
"24",33,15000000,"PMN","AM","ELEITO"
"25",16,50000,"PSTU","BA","REGISTRO NEGADO ANTES DA ELEIÇÃO"
"26",15,30000000,"PMDB","BA","NÃO ELEITO"
"27",13,33000000,"PT","BA","ELEITO"
"28",43,5000000,"PV","BA","NÃO ELEITO"
"29",50,200000,"PSOL","BA","NÃO ELEITO"
"30",25,25000000,"DEM","BA","NÃO ELEITO"
"31",21,300000,"PCB","BA","NÃO ELEITO"
"32",40,39000000,"PSB","CE","ELEITO"
"33",16,50000,"PSTU","CE","NÃO ELEITO"
"34",22,50000000,"PR","CE","NÃO ELEITO"
"35",45,30000000,"PSDB","CE","NÃO ELEITO"
"36",21,80000,"PCB","CE","REGISTRO NEGADO ANTES DA ELEIÇÃO"
"37",43,5000000,"PV","CE","NÃO ELEITO"
"38",50,150000,"PSOL","CE","NÃO ELEITO"
"39",13,35000000,"PT","DF","2º TURNO"
"40",50,950000,"PSOL","DF","NÃO ELEITO"
"41",43,20000000,"PV","DF","NÃO ELEITO"
"42",21,20000,"PCB","DF","REGISTRO NEGADO ANTES DA ELEIÇÃO"
"43",17,10000000,"PSL","DF","RENÚNCIA/FALECIMENTO/CASSAÇÃO ANTES DA ELEIÇÃO"
"44",29,30000,"PCO","DF","REGISTRO NEGADO ANTES DA ELEIÇÃO"
"45",16,50000,"PSTU","DF","NÃO ELEITO"
"46",20,10000000,"PSC","DF","2º TURNO"
"47",13,35000000,"PT","DF","ELEITO"
"48",20,10000000,"PSC","DF","NÃO ELEITO"
"49",50,600000,"PSOL","ES","NÃO ELEITO"
"50",28,3000000,"PRTB","ES","NÃO ELEITO"
"51",29,40000,"PCO","ES","#NE#"
"52",40,10000000,"PSB","ES","ELEITO"
"53",45,8500000,"PSDB","ES","NÃO ELEITO"
"54",15,19800000,"PMDB","GO","2º TURNO"
"55",45,30000000,"PSDB","GO","2º TURNO"
"56",21,223000,"PCB","GO","NÃO ELEITO"
"57",22,22800000,"PR","GO","NÃO ELEITO"
"58",50,500000,"PSOL","GO","NÃO ELEITO"
"59",15,19800000,"PMDB","GO","NÃO ELEITO"
"60",45,30000000,"PSDB","GO","ELEITO"
"61",65,8000000,"PC do B","MA","NÃO ELEITO"
"62",12,15000000,"PDT","MA","NÃO ELEITO"
"63",21,50000,"PCB","MA","NÃO ELEITO"
"64",16,10000,"PSTU","MA","NÃO ELEITO"
"65",15,40000000,"PMDB","MA","ELEITO"
"66",50,80000,"PSOL","MA","NÃO ELEITO"
"67",50,1000000,"PSOL","MT","NÃO ELEITO"
"68",40,17000000,"PSB","MT","NÃO ELEITO"
"69",15,30000000,"PMDB","MT","ELEITO"
"70",45,18000000,"PSDB","MT","NÃO ELEITO"
"71",15,20000000,"PMDB","MS","ELEITO"
"72",13,16000000,"PT","MS","NÃO ELEITO"
"73",50,250000,"PSOL","MS","NÃO ELEITO"
"74",29,40000,"PCO","MG","NÃO ELEITO"
"75",45,35000000,"PSDB","MG","ELEITO"
"76",70,5000000,"PT do B","MG","NÃO ELEITO"
"77",21,100000,"PCB","MG","NÃO ELEITO"
"78",15,36000000,"PMDB","MG","NÃO ELEITO"
"79",43,15000000,"PV","MG","NÃO ELEITO"
"80",50,500000,"PSOL","MG","NÃO ELEITO"
"81",16,80000,"PSTU","MG","NÃO ELEITO"
"82",13,20000000,"PT","PA","2º TURNO"
"83",15,20000000,"PMDB","PA","NÃO ELEITO"
"84",50,300000,"PSOL","PA","NÃO ELEITO"
"85",16,25000,"PSTU","PA","NÃO ELEITO"
"86",45,12000000,"PSDB","PA","2º TURNO"
"87",13,20000000,"PT","PA","NÃO ELEITO"
"88",45,12000000,"PSDB","PA","ELEITO"
"89",21,200000,"PCB","PB","NÃO ELEITO"
"90",15,20000000,"PMDB","PB","2º TURNO"
"91",16,15000,"PSTU","PB","NÃO ELEITO"
"92",29,50000,"PCO","PB","NÃO ELEITO"
"93",50,100000,"PSOL","PB","NÃO ELEITO"
"94",40,13100000,"PSB","PB","2º TURNO"
"95",15,20000000,"PMDB","PB","NÃO ELEITO"
"96",40,13100000,"PSB","PB","ELEITO"
"97",21,500000,"PCB","PR","NÃO ELEITO"
"98",16,100000,"PSTU","PR","NÃO ELEITO"
"99",45,27000000,"PSDB","PR","ELEITO"
"100",50,100000,"PSOL","PR","NÃO ELEITO"
"101",12,42000000,"PDT","PR","NÃO ELEITO"
"102",43,743000,"PV","PR","NÃO ELEITO"
"103",28,2800000,"PRTB","PR","NÃO ELEITO"
"104",21,300000,"PCB","PE","REGISTRO NEGADO ANTES DA ELEIÇÃO"
"105",50,250000,"PSOL","PE","NÃO ELEITO"
"106",40,19500000,"PSB","PE","ELEITO"
"107",28,2000000,"PRTB","PE","NÃO ELEITO"
"108",16,13000,"PSTU","PE","NÃO ELEITO"
"109",15,18000000,"PMDB","PE","NÃO ELEITO"
"110",43,7000000,"PV","PE","NÃO ELEITO"
"111",33,500000,"PMN","PI","NÃO ELEITO"
"112",16,50000,"PSTU","PI","NÃO ELEITO"
